repo,urn,file,structure_signature
First1KGreek,tlg0643.tlg001.1st1K-mul1,tlg0643/tlg001/tlg0643.tlg001.1st1K-mul1.xml,commentary+paragraph
First1KGreek,tlg0643.tlg001.1st1K-mul2,tlg0643/tlg001/tlg0643.tlg001.1st1K-mul2.xml,commentary+index+paragraph
First1KGreek,tlg0732.tlg005.1st1K-grc1,tlg0732/tlg005/tlg0732.tlg005.1st1K-grc1.xml,page
First1KGreek,tlg0732.tlg010.1st1K-grc1,tlg0732/tlg010/tlg0732.tlg010.1st1K-grc1.xml,paragraph+work
First1KGreek,tlg0732.tlg012.1st1K-grc2,tlg0732/tlg012/tlg0732.tlg012.1st1K-grc2.xml,essay+quaestio
First1KGreek,tlg0732.tlgX01.1st1K-grc1,tlg0732/tlgX01/tlg0732.tlgX01.1st1K-grc1.xml,page+l
First1KGreek,tlg1146.tlg001.1st1K-grc1,tlg1146/tlg001/tlg1146.tlg001.1st1K-grc1.xml,fragment
First1KGreek,tlg1147.tlg003.1st1K-grc1,tlg1147/tlg003/tlg1147.tlg003.1st1K-grc1.xml,fragment
First1KGreek,tlg1188.tlg002.1st1K-grc1,tlg1188/tlg002/tlg1188.tlg002.1st1K-grc1.xml,fragment
First1KGreek,tlg1193.tlg001.1st1K-grc1,tlg1193/tlg001/tlg1193.tlg001.1st1K-grc1.xml,fragment
First1KGreek,tlg1194.tlg001.1st1K-grc1,tlg1194/tlg001/tlg1194.tlg001.1st1K-grc1.xml,book+line
First1KGreek,tlg1264.tlg001.1st1K-grc1,tlg1264/tlg001/tlg1264.tlg001.1st1K-grc1.xml,apparatus+commentary+fragment
First1KGreek,tlg1264.tlg002.1st1K-grc1,tlg1264/tlg002/tlg1264.tlg002.1st1K-grc1.xml,fragment
First1KGreek,tlg1264.tlg003.1st1K-grc1,tlg1264/tlg003/tlg1264.tlg003.1st1K-grc1.xml,fragment
First1KGreek,tlg1264.tlg004.1st1K-grc1,tlg1264/tlg004/tlg1264.tlg004.1st1K-grc1.xml,fragment
First1KGreek,tlg1269.tlg002.1st1K-grc1,tlg1269/tlg002/tlg1269.tlg002.1st1K-grc1.xml,fragment
First1KGreek,tlg1287.tlg001.1st1K-grc1,tlg1287/tlg001/tlg1287.tlg001.1st1K-grc1.xml,fragment
First1KGreek,tlg1304.tlg002.1st1K-grc1,tlg1304/tlg002/tlg1304.tlg002.1st1K-grc1.xml,fragment
First1KGreek,tlg1319.tlg002.1st1K-grc1,tlg1319/tlg002/tlg1319.tlg002.1st1K-grc1.xml,fragment
First1KGreek,tlg1320.tlg001.1st1K-grc1,tlg1320/tlg001/tlg1320.tlg001.1st1K-grc1.xml,fragment
First1KGreek,tlg1329.tlg001.1st1K-grc1,tlg1329/tlg001/tlg1329.tlg001.1st1K-grc1.xml,fragment
First1KGreek,tlg1347.tlg004.1st1K-grc1,tlg1347/tlg004/tlg1347.tlg004.1st1K-grc1.xml,fragment
First1KGreek,tlg1390.tlg004.1st1K-grc1,tlg1390/tlg004/tlg1390.tlg004.1st1K-grc1.xml,fragment
First1KGreek,tlg1402.tlg005.1st1K-grc1,tlg1402/tlg005/tlg1402.tlg005.1st1K-grc1.xml,fragment
First1KGreek,tlg1416.tlg007.1st1K-grc1,tlg1416/tlg007/tlg1416.tlg007.1st1K-grc1.xml,entry+letter
First1KGreek,tlg1434.tlg004.1st1K-grc1,tlg1434/tlg004/tlg1434.tlg004.1st1K-grc1.xml,fragment
First1KGreek,tlg1463.tlg001.1st1K-grc1,tlg1463/tlg001/tlg1463.tlg001.1st1K-grc1.xml,chapter+verse
First1KGreek,tlg1463.tlg001.1st1K-grc2,tlg1463/tlg001/tlg1463.tlg001.1st1K-grc2.xml,chapter+section
First1KGreek,tlg1463.tlg001.1st1K-lat1,tlg1463/tlg001/tlg1463.tlg001.1st1K-lat1.xml,chapter+verse
First1KGreek,tlg1487.tlg001.1st1K-grc1,tlg1487/tlg001/tlg1487.tlg001.1st1K-grc1.xml,chapter
