urn,path,author,title,suggested_genre,confidence,family,proposed_subclass,structure_signature,match,needs_review,recommended_genre,notes
urn:cts:latinLit:phi1351.phi004.perseus-lat2,phi1351/phi004/phi1351.phi004.perseus-lat2.xml,"Tacitus, Cornelius",Historiae,prose-standard,high,prose,prose-book-chapter,book+chapter,ready,false,prose-book-chapter,
urn:cts:latinLit:phi1351.phi005.perseus-eng1,phi1351/phi005/phi1351.phi005.perseus-eng1.xml,"Tacitus, Cornelius",Annales,prose-standard,medium,prose,prose-standard,(none),review,true,prose-standard,
urn:cts:latinLit:phi1351.phi005.perseus-lat1,phi1351/phi005/phi1351.phi005.perseus-lat1.xml,"Tacitus, Cornelius",Annales,prose-standard,medium,prose,prose-standard,(none),review,true,prose-standard,
urn:cts:latinLit:phi2331.phi001.perseus-lat2,phi2331/phi001/phi2331.phi001.perseus-lat2.xml,Scriptores Historiae Augustae,De Vita Hadriani,prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
urn:cts:latinLit:phi2331.phi002.perseus-lat2,phi2331/phi002/phi2331.phi002.perseus-lat2.xml,Scriptores Historiae Augustae,Helius,prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
urn:cts:latinLit:phi2331.phi003.perseus-lat2,phi2331/phi003/phi2331.phi003.perseus-lat2.xml,Scriptores Historiae Augustae,Antoninus Pius,prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
urn:cts:latinLit:phi2331.phi004.perseus-lat2,phi2331/phi004/phi2331.phi004.perseus-lat2.xml,Scriptores Historiae Augustae,Marcus Antoninus Philosophus,prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
urn:cts:latinLit:phi2331.phi005.perseus-lat2,phi2331/phi005/phi2331.phi005.perseus-lat2.xml,Scriptores Historiae Augustae,Verus,prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
urn:cts:latinLit:phi2331.phi006.perseus-lat2,phi2331/phi006/phi2331.phi006.perseus-lat2.xml,Scriptores Historiae Augustae,Avidius Casius,prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
urn:cts:latinLit:phi2331.phi007.perseus-lat2,phi2331/phi007/phi2331.phi007.perseus-lat2.xml,Scriptores Historiae Augustae,Commodus Antoninus,prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
urn:cts:latinLit:phi2331.phi008.perseus-lat2,phi2331/phi008/phi2331.phi008.perseus-lat2.xml,Scriptores Historiae Augustae,Pertinax,prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
urn:cts:latinLit:phi2331.phi009.perseus-lat2,phi2331/phi009/phi2331.phi009.perseus-lat2.xml,Scriptores Historiae Augustae,Didius Julianus,prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
urn:cts:latinLit:phi2331.phi010.perseus-lat2,phi2331/phi010/phi2331.phi010.perseus-lat2.xml,Scriptores Historiae Augustae,Severus,prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
urn:cts:latinLit:phi2331.phi011.perseus-lat2,phi2331/phi011/phi2331.phi011.perseus-lat2.xml,Scriptores Historiae Augustae,Pescennius Niger,prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
urn:cts:latinLit:phi2331.phi012.perseus-lat2,phi2331/phi012/phi2331.phi012.perseus-lat2.xml,Scriptores Historiae Augustae,Clodinus Albinus,prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
urn:cts:latinLit:phi2331.phi013.perseus-lat2,phi2331/phi013/phi2331.phi013.perseus-lat2.xml,Scriptores Historiae Augustae,Antoninus Caracalla,prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
urn:cts:latinLit:phi2331.phi014.perseus-lat2,phi2331/phi014/phi2331.phi014.perseus-lat2.xml,Scriptores Historiae Augustae,Antoninus Geta,prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
urn:cts:latinLit:phi2331.phi015.perseus-lat2,phi2331/phi015/phi2331.phi015.perseus-lat2.xml,Scriptores Historiae Augustae,Opilius Macrinus,prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
urn:cts:latinLit:phi2331.phi016.perseus-lat2,phi2331/phi016/phi2331.phi016.perseus-lat2.xml,Scriptores Historiae Augustae,Diadumenus Antoninus,prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
urn:cts:latinLit:phi2331.phi017.perseus-lat2,phi2331/phi017/phi2331.phi017.perseus-lat2.xml,Scriptores Historiae Augustae,Antoninus Heliogobalus,prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
urn:cts:latinLit:phi2331.phi018.perseus-lat2,phi2331/phi018/phi2331.phi018.perseus-lat2.xml,Scriptores Historiae Augustae,Alexander Severus,prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
urn:cts:latinLit:phi2331.phi019.perseus-lat2,phi2331/phi019/phi2331.phi019.perseus-lat2.xml,Scriptores Historiae Augustae,Maximini Duo,prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
urn:cts:latinLit:phi2331.phi020.perseus-lat2,phi2331/phi020/phi2331.phi020.perseus-lat2.xml,Scriptores Historiae Augustae,Gordiani Tres,prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
urn:cts:latinLit:phi2331.phi021.perseus-lat2,phi2331/phi021/phi2331.phi021.perseus-lat2.xml,Scriptores Historiae Augustae,Maximus et Balbinus,prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
urn:cts:latinLit:phi2331.phi022.perseus-lat2,phi2331/phi022/phi2331.phi022.perseus-lat2.xml,Scriptores Historiae Augustae,Valeriani Duo,prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
