urn,path,genre,structural_type,div_subtypes,milestone_units,issues
tlg0018.tlg023.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg023/tlg0018.tlg023.1st1K-grc1.xml,prose-philosophy,mixed,section,altpage1|altpage2|altref,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg024.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg024/tlg0018.tlg024.1st1K-eng1.xml,prose-philosophy,mixed,book|section,chapter|nextchapter|oldchapter,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg024.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg024/tlg0018.tlg024.1st1K-grc1.xml,prose-philosophy,mixed,book|section,altpage1|altpage2|altref,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg025.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg025/tlg0018.tlg025.1st1K-eng1.xml,prose-philosophy,mixed,section,chapter|oldchapter,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg025.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg025/tlg0018.tlg025.1st1K-grc1.xml,prose-philosophy,mixed,section,altpage1|altpage2|altref,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg026.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg026/tlg0018.tlg026.1st1K-eng1.xml,prose-philosophy,mixed,section,chapter|oldchapter,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg026.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg026/tlg0018.tlg026.1st1K-grc1.xml,prose-philosophy,mixed,section,altpage1|altpage2|altref,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg027.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg027/tlg0018.tlg027.1st1K-eng1.xml,prose-philosophy,mixed,section,chapter,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg027.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg027/tlg0018.tlg027.1st1K-grc1.xml,prose-philosophy,mixed,section,altpage1|altpage2|altref,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg028.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg028/tlg0018.tlg028.1st1K-eng1.xml,prose-philosophy,mixed,section,chapter,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg028.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg028/tlg0018.tlg028.1st1K-grc1.xml,prose-philosophy,mixed,section,altpage1|altpage2|altref,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg029.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg029/tlg0018.tlg029.1st1K-eng1.xml,prose-philosophy,mixed,section,chapter|oldchapter,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg029.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg029/tlg0018.tlg029.1st1K-grc1.xml,prose-philosophy,mixed,section,altpage1|altpage2|altref,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg030.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg030/tlg0018.tlg030.1st1K-eng1.xml,prose-oratory,mixed,section,chapter,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg030.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg030/tlg0018.tlg030.1st1K-grc1.xml,prose-oratory,mixed,section,altpage1|altpage2|altref,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg031.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg031/tlg0018.tlg031.1st1K-eng1.xml,prose-oratory,mixed,section,chapter,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg031.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg031/tlg0018.tlg031.1st1K-grc1.xml,prose-oratory,mixed,section,altpage1|altpage2|altref,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0022.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0022/tlg001/tlg0022.tlg001.1st1K-grc1.xml,verse-didactic,unknown,,,No <div type='textpart'> or <milestone> elements found; document appears unstructured.
tlg0022.tlg002.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0022/tlg002/tlg0022.tlg002.1st1K-grc1.xml,verse-didactic,unknown,,,No <div type='textpart'> or <milestone> elements found; document appears unstructured.
tlg0026.tlg004.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0026/tlg004/tlg0026.tlg004.1st1K-grc1.xml,prose-epistolary,div-based,epistle|section,,
tlg0031.tlg002.1st1K-cop1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0031/tlg002/tlg0031.tlg002.1st1K-cop1.xml,prose-biography,div-based,chapter|verse,,
tlg0031.tlg002.INTF-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0031/tlg002/tlg0031.tlg002.INTF-grc1.xml,prose-biography,div-based,chapter,,
tlg0037.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0037/tlg001/tlg0037.tlg001.1st1K-grc1.xml,prose-epistolary,div-based,epistle,,
tlg0039.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0039/tlg001/tlg0039.tlg001.1st1K-grc1.xml,prose-epistolary,div-based,section,,
tlg0041.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0041/tlg001/tlg0041.tlg001.1st1K-grc1.xml,prose-epistolary,div-based,epistle|section,,
tlg0044.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0044/tlg001/tlg0044.tlg001.1st1K-grc1.xml,prose-epistolary,div-based,epistle,,
tlg0045.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0045/tlg001/tlg0045.tlg001.1st1K-grc1.xml,prose-epistolary,div-based,epistle,,
tlg0046.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0046/tlg001/tlg0046.tlg001.1st1K-grc1.xml,prose-epistolary,div-based,epistle,,
tlg0048.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0048/tlg001/tlg0048.tlg001.1st1K-grc1.xml,prose-epistolary,div-based,epistle|section,,
tlg0053.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0053/tlg001/tlg0053.tlg001.1st1K-grc1.xml,prose-epistolary,div-based,epistle|section,,
tlg0055.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0055/tlg001/tlg0055.tlg001.1st1K-grc1.xml,prose-epistolary,div-based,epistle,,
tlg0057.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0057/tlg001/tlg0057.tlg001.1st1K-grc1.xml,prose-philosophy,mixed,chapter,page,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0057.tlg001.1st1K-grc2,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0057/tlg001/tlg0057.tlg001.1st1K-grc2.xml,prose-philosophy,mixed,chapter,ed1folio|lineno,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0057.tlg002.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0057/tlg002/tlg0057.tlg002.1st1K-grc1.xml,prose-philosophy,mixed,chapter,ed1page|ed2page,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0057.tlg003.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0057/tlg003/tlg0057.tlg003.1st1K-grc1.xml,prose-philosophy,mixed,chapter,ed1page|ed2page,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0057.tlg004.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0057/tlg004/tlg0057.tlg004.1st1K-grc1.xml,prose-philosophy,mixed,chapter,ed1page|ed2page,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0057.tlg006.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0057/tlg006/tlg0057.tlg006.1st1K-grc1.xml,prose-philosophy,mixed,chapter,ed1page|ed2page,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0057.tlg007.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0057/tlg007/tlg0057.tlg007.1st1K-grc1.xml,prose-philosophy,mixed,chapter,ed1page|ed2page,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
