element,attribute,genre,value,count
quote,rend,prose-philosophy,smallcaps,4
quote,rend,prose-philosophy,blockquote;double,4
title,lang,prose-historiography,deu,4
title,lang,verse-epic,grc,4
title,lang,verse-epic,deu,4
title,type,prose-geography,explanation,4
title,type,prose-oratory,s,4
title,type,prose-oratory,m,4
title,type,prose-philosophy,subtitle,4
w,type,prose-biography,PINT,4
w,type,prose-biography,NEG,4
w,type,prose-biography,COP,4
w,type,prose-biography,CFOC,4
ab,lang,prose-geography,lat,3
author,lang,attic-tragedy,lat,3
author,lang,prose-philosophy,eng,3
bibl,lang,prose-epistolary,lat,3
biblScope,unit,prose-geography,pp,3
date,type,prose-oratory,release,3
date,type,verse-epic,printing,3
div,lang,verse-lyric-pindaric,grc,3
div,subtype,attic-tragedy,section,3
div,subtype,attic-tragedy,hypothesis,3
div,subtype,attic-tragedy,castlist,3
div,type,prose-oratory,translation,3
div,type,prose-philosophy,apparatus,3
div,type,verse-lyric-pindaric,edition,3
editor,lang,prose-geography,deu,3
editor,role,prose-biography,translator,3
foreign,lang,prose-geography,abbr,3
foreign,lang,verse-didactic,lat,3
head,rend,verse-epigram,center,3
head,type,prose-philosophy,subhead,3
imprint,lang,prose-philosophy,lat,3
item,rend,prose-philosophy,header,3
l,rend,prose-biography,center,3
l,rend,prose-philosophy,right align,3
l,rend,verse-elegiac,align(indent),3
label,lang,attic-tragedy,lat,3
language,ident,prose-historiography,deu,3
language,ident,verse-lyric-pindaric,lat,3
language,ident,verse-lyric-pindaric,grc,3
lg,rend,prose-philosophy,align(right),3
lg,rend,prose-philosophy,align(left),3
milestone,unit,prose-historiography,volume,3
milestone,unit,prose-philosophy,9,3
name,lang,prose-biography,lat,3
note,place,prose-epistolary,inline,3
note,rend,prose-philosophy,margin,3
note,type,prose-historiography,marginalB,3
note,type,prose-historiography,margial,3
note,type,prose-philosophy,marginl,3
note,type,prose-philosophy,margial,3
note,type,prose-philosophy,footnte,3
note,type,prose-philosophy,footnot,3
note,type,verse-epic,commentary,3
note,type,verse-epic,app_crit,3
note,type,verse-epigram,footnote,3
pb,ed,prose-philosophy,V,3
persName,role,attic-tragedy,principal,3
persName,role,verse-lyric-monodic,principal,3
publisher,lang,verse-didactic,deu,3
q,lang,prose-philosophy,lat,3
q,rend,prose-biography,merge,3
q,rend,prose-biography,double,3
q,rend,prose-epistolary,merge,3
