urn,path,author,title,suggested_genre,confidence,family,proposed_subclass,structure_signature,match,needs_review,recommended_genre,notes
urn:cts:greekLit:tlg0020.tlg003.perseus-grc2,tlg0020/tlg003/tlg0020.tlg003.perseus-grc2.xml,Hesiod,Shield of Heracles,verse-epic,medium,verse,verse-stichic,l,ready,false,verse-stichic,
urn:cts:greekLit:tlg0023.tlg001.perseus-grc2,tlg0023/tlg001/tlg0023.tlg001.perseus-grc2.xml,Oppian,Halieutica,verse-didactic,high,verse,verse-book-line,book+l,ready,false,verse-book-line,
urn:cts:greekLit:tlg0024.tlg001.perseus-grc2,tlg0024/tlg001/tlg0024.tlg001.perseus-grc2.xml,Oppian of Apamea,Cynegetica,verse-didactic,high,verse,verse-book-line,book+l,ready,false,verse-book-line,
urn:cts:greekLit:tlg0026.tlg001.perseus-eng2,tlg0026/tlg001/tlg0026.tlg001.perseus-eng2.xml,Aeschines,Against Timarchus,prose-oratory,high,prose,prose-section,section+l,ready,false,prose-section,
urn:cts:greekLit:tlg0026.tlg001.perseus-grc2,tlg0026/tlg001/tlg0026.tlg001.perseus-grc2.xml,Aeschines,Against Timarchus,prose-oratory,high,prose,prose-section,section+l,ready,false,prose-section,
urn:cts:greekLit:tlg0026.tlg002.perseus-eng2,tlg0026/tlg002/tlg0026.tlg002.perseus-eng2.xml,Aeschines,On the Embassy,prose-oratory,high,prose,prose-section,section+l,ready,false,prose-section,
urn:cts:greekLit:tlg0026.tlg002.perseus-grc2,tlg0026/tlg002/tlg0026.tlg002.perseus-grc2.xml,Aeschines,On the Embassy,prose-oratory,high,prose,prose-section,section+l,ready,false,prose-section,
urn:cts:greekLit:tlg0026.tlg003.perseus-eng2,tlg0026/tlg003/tlg0026.tlg003.perseus-eng2.xml,Aeschines,Against Ctesiphon,prose-oratory,high,prose,prose-section,section+l,ready,false,prose-section,
urn:cts:greekLit:tlg0026.tlg003.perseus-grc2,tlg0026/tlg003/tlg0026.tlg003.perseus-grc2.xml,Aeschines,Against Ctesiphon,prose-oratory,high,prose,prose-section,section+l,ready,false,prose-section,
urn:cts:greekLit:tlg0027.tlg001.perseus-eng2,tlg0027/tlg001/tlg0027.tlg001.perseus-eng2.xml,Andocides,On the Mysteries,prose-oratory,high,prose,prose-section,part+section,ready,false,prose-section,
urn:cts:greekLit:tlg0027.tlg001.perseus-grc2,tlg0027/tlg001/tlg0027.tlg001.perseus-grc2.xml,Andocides,On the Mysteries,prose-oratory,high,prose,prose-section,section,ready,false,prose-section,
urn:cts:greekLit:tlg0027.tlg002.perseus-eng2,tlg0027/tlg002/tlg0027.tlg002.perseus-eng2.xml,Andocides,On His Return,prose-oratory,high,prose,prose-section,part+section,ready,false,prose-section,
urn:cts:greekLit:tlg0027.tlg002.perseus-grc2,tlg0027/tlg002/tlg0027.tlg002.perseus-grc2.xml,Andocides,On His Return,prose-oratory,high,prose,prose-section,section,ready,false,prose-section,
urn:cts:greekLit:tlg0027.tlg003.perseus-eng2,tlg0027/tlg003/tlg0027.tlg003.perseus-eng2.xml,Andocides,On the Peace with Sparta,prose-oratory,high,prose,prose-section,section,ready,false,prose-section,
urn:cts:greekLit:tlg0027.tlg003.perseus-grc2,tlg0027/tlg003/tlg0027.tlg003.perseus-grc2.xml,Andocides,On the Peace with Sparta,prose-oratory,high,prose,prose-section,section,ready,false,prose-section,
